"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-00",-1.31756266399889,1.23777446126355,0.672474056023363,-1.54596902187219,-1.48236032413387,1.90387396768192,1.42695166261937
"feb-00",-1.57955294593051,1.21265840006447,0.759624398985498,-1.64594824351949,-1.62360066164634,1.84671381430139,1.43929204152894
"mar-00",-1.67321314863443,1.09522331565371,0.992034452145521,-1.02112183984026,-1.99227822894079,1.73722573252061,1.43929204152894
"abr-00",-1.41910212523881,1.04207718173282,0.705770163364235,-1.08692937898442,-1.91116288367016,1.61860449729979,1.43067482266061
"may-00",-1.17772891762609,1.01358671894974,0.172081907497062,-0.830517507592953,-1.67105221903245,1.81349723339122,1.45263936632108
"jun-00",-1.53809644792083,1.00316695407672,0.338704251495146,-0.701584443846913,-1.89500533316147,1.66756465342039,1.43314685311544
"jul-00",-1.13757655928957,0.945014256510337,-0.243649926963518,-0.456927309252382,-1.34276129303194,1.64542042240726,1.42195895809798
"ago-00",-1.28912557546072,0.858874715736434,0.315694649804459,-0.350619010234414,-1.45119782418936,1.54576055202705,1.43437986506305
"sep-00",-1.16469345546394,0.737121408040781,0.703404976401056,-0.135654484137271,-1.59207010025873,1.53187999391433,1.42819473997509
"oct-00",-1.09313688837417,0.72225237262195,1.33786404832871,-0.145138646120182,-1.45119782418936,1.50390217979661,1.41314216316697
"nov-00",-1.5874664510484,0.782388887222854,1.06054581797371,-0.87542649765118,-1.23529481412743,1.49451121431158,1.42321020687794
"dic-00",-1.44489300141528,0.759196495965939,0.506127192467533,-0.686783731774365,-1.46676896958683,1.25869535636725,1.35934412741806
"ene-01",-1.54119717618811,0.51352820830674,1.21252077730531,-0.955622422843405,-1.34276129303194,1.21730209561249,1.24356072469793
"feb-01",-1.6282902561236,0.336747370334164,1.24097298775411,-0.736180458201819,-1.52925616895321,1.18583379676951,1.22269956464716
"mar-01",-1.45977242964522,0.286600742829205,0.914132020288506,-0.990853227117514,-1.68691114805803,1.07270264377059,1.15822315672875
"abr-01",-1.46650231843618,0.208568407697235,0.583754370072452,-1.12758073600032,-1.76652135983051,1.20685350430623,1.09934283798557
"may-01",-1.63152554212069,0.18775768652921,0.102549183626985,-2.00377905759769,-1.59207010025873,1.33463197385854,1.06008750996121
"jun-01",-1.62344654505622,0.0634900678761002,0.454876429520992,-1.30683262792819,-1.57633579939485,1.27915559854157,1.01869771637688
"jul-01",-1.55598774688197,0.0399229605746629,0.852003889630524,-1.02617298211898,-1.38911429070425,1.25869535636725,1.02715763353878
"ago-01",-1.87300338488316,-0.183317528975816,1.54497671206233,-1.29652755314252,-1.63939703077605,1.11636297515097,0.994936265117387
"sep-01",-2.08752034816732,-0.271090035479867,1.68416902111158,-1.4571156117756,-1.68691114805803,0.983197213166166,0.837011592635593
"oct-01",-2.26966559589085,-0.182858234565204,0.72814019876768,-1.65651405851494,-1.28123420851345,0.890611428053035,0.691687145510781
"nov-01",-2.22638968715993,-0.175513860270689,0.723445569916822,-2.0097398379276,-1.46676896958683,0.937302558687553,0.641022025138724
"dic-01",-2.26529812535399,-0.17398480871168,0.38548888566625,-2.45020561009608,-1.57633579939485,1.18055311032467,0.654865764903737
"ene-02",-2.0320711039184,-0.186610073024042,0.450994479130448,-2.48380643903404,-1.48236032413387,1.15399308338098,0.634004604852969
"feb-02",-1.62667445857952,-0.125468605137315,-0.15219524968783,-2.28892971800218,-1.57633579939485,1.08368432791431,0.658287724422319
"mar-02",-1.54896885152426,-0.0945798795373769,0.492126635521219,-2.96869769788358,-1.76652135983051,1.27915559854157,0.766331499132256
"abr-02",-1.70900841937791,-0.137469288933655,0.234335813985351,-2.51748816892231,-1.86275528159904,1.24324741605349,0.739190160426298
"may-02",-1.58271481209146,-0.327024735454838,0.9053406582522,-2.56816330805581,-1.73461393870297,1.21730209561249,0.698194746761348
"jun-02",-1.57009548075528,-0.505276313653629,1.55371859167985,-2.33323423132567,-1.62360066164634,1.09462137094237,0.647975358499543
"jul-02",-1.42130054619858,-0.453798025673273,1.60646012813532,-2.36655494193186,-1.52925616895321,0.937302558687553,0.560025612292605
"ago-02",-1.31616662343089,-0.682851025272184,2.15317966277681,-1.93406425251473,-1.42011595176039,0.701619202227081,0.478077270114837
"sep-02",-1.55442598740844,-0.574354055850912,1.47493771838267,-1.39992150784391,-1.26590154913501,0.443290925081695,0.460573402419545
"oct-02",-1.58034297147152,-0.446146584268126,1.12741829928767,-1.54072669901191,-0.948355210824512,0.491521569134867,0.428938626833995
"nov-02",-1.26446641666074,-0.398841015695816,1.23902003564973,-2.53435949364741,-0.948355210824512,0.565607846238324,0.351278019792728
"dic-02",-1.11270274286734,-0.459781882043521,1.47762972708728,-2.09127769295148,-1.2047658599788,0.552288468145547,0.330558789970957
"ene-03",-0.925288486677271,-0.42936041066703,1.33597764419254,-1.21948051577607,-0.888810419808949,0.565607846238324,0.281770128176972
"feb-03",-1.27539072693625,-0.38225326580917,1.29031782028216,-1.11232263044591,-1.38911429070425,0.46406715866866,0.24741611858947
"mar-03",-1.66826605986162,-0.0892948175054665,0.401350776863162,-1.53548633993622,-1.54492888740873,0.401250868511585,0.2114384945018
"abr-03",-1.37919569295482,-0.0816766662308493,0.162048799693819,-1.46493295670602,-1.59207010025873,0.505144428010769,0.229639792594168
"may-03",-1.33438708975685,-0.0524922640811243,0.169218977575868,-1.72538706226312,-1.3581924280917,0.226196692850569,0.173676141793508
