"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-00",3.41542896390888,4.67349216581088,3.15145314855077,3.28391422104742,4.34380542185368,1.8961194845523,1.81156209652423
"feb-00",3.29212628660779,4.66969308200359,3.18262669219308,3.27676730328398,4.33204826486764,1.87487437593856,1.82776990675109
"mar-00",3.24804620216798,4.6519297183911,3.26575941076705,3.32143241319329,4.30135873160643,1.83418018511201,1.82776990675109
"abr-00",3.36764059813331,4.64389077409969,3.16336311493794,3.31672822503571,4.30811095172371,1.79009141212736,1.81645208181843
"may-00",3.48124008933569,4.6395812744945,2.97246364661464,3.33505757915761,4.32809829264833,1.86252854011626,1.84530023615608
"jun-00",3.31163730494951,4.63800516908166,3.03206420280138,3.34427423426253,4.30945594183905,1.80828877117927,1.8196988379173
"jul-00",3.50013732951706,4.62920892631399,2.82375700881418,3.36176331241675,4.3554259528767,1.80005827204275,1.80500469597808
"ago-00",3.42881254869513,4.6161793620074,3.02383370366487,3.36936265814214,4.34639945703073,1.7630170003624,1.8213182714696
"sep-00",3.48737507790321,4.59776281905967,3.16251709119882,3.38472918895485,4.33467293829041,1.75785791755237,1.81319474994812
"oct-00",3.52105234347043,4.59551371195478,3.38946212544373,3.38405122282718,4.34639945703073,1.74745921033147,1.79342474854712
"nov-00",3.28840188751681,4.60461002912953,3.29026582095487,3.33184730352736,4.36437169943516,1.74396880539171,1.80664808172181
"dic-00",3.35550242240003,4.60110192181214,3.09195113129453,3.34533224882076,4.34510328056928,1.65632149833295,1.7227665977411
"ene-01",3.31017798327499,4.56394185892595,3.34462703017376,3.3261145755378,4.3554259528767,1.64093657949347,1.57069708411767
"feb-01",3.26918863874179,4.53720178954733,3.35480434209244,3.3418011717055,4.33990170837321,1.62924053973028,1.54329810992956
"mar-01",3.34849959266171,4.52961655398693,3.23789383070396,3.3235961356386,4.3267781604434,1.58719230348678,1.45861502269952
"abr-01",3.34533224882076,4.51781329476984,3.11971825333498,3.31382230217715,4.32015123095579,1.63705307946707,1.38128181929635
"may-01",3.26766598903763,4.51466544156225,2.94759189822606,3.25118811433545,4.33467293829041,1.68454538492091,1.3297240096315
"jun-01",3.27146827498737,4.495868581097,3.07361881221106,3.30100865440672,4.33598269617247,1.66392609771817,1.27536280041261
"jul-01",3.30321697330195,4.49230379380715,3.21567069391925,3.32107133718287,4.35156742718917,1.65632149833295,1.28647402583768
"ago-01",3.1540172525197,4.45853618501449,3.46354600672669,3.3017453026905,4.33073334028633,1.60341984010854,1.24415459395877
"sep-01",3.05305734017326,4.44525961646571,3.51333488159901,3.29026582095487,4.3267781604434,1.55392520250384,1.03673688495002
"oct-01",2.96733279903229,4.45860565840621,3.17136484219715,3.27601201623901,4.36054760299676,1.51951320490611,0.845868267577609
"nov-01",2.98770010185673,4.45971657676382,3.16968558067743,3.25076201373052,4.34510328056928,1.53686721959926,0.779324876800998
"dic-01",2.96938829821439,4.45994786283102,3.04879899449068,3.21927574488953,4.33598269617247,1.62727783056243,0.797507195884188
"ene-02",3.07915388169306,4.45803815107998,3.07223024452672,3.21687382219753,4.34380542185368,1.61740608208328,0.770108221696074
"feb-02",3.2699490950522,4.4672864786247,2.85647020622048,3.23080439573347,4.33598269617247,1.59127394180643,0.802001585472027
"mar-02",3.30652033472025,4.47195874217449,3.08694315360738,3.18221184049661,4.32015123095579,1.66392609771817,0.943905898907128
"abr-02",3.23119957455703,4.46547124162852,2.99473177322041,3.2144661163795,4.31214050720972,1.65057985576528,0.908258560176891
